"Code","dist_nearest_school","pred_ntl_antilog","pred_ndvi","geometry"
"D132",49.5854362984733,12.7986479449227,0.794007554287406,c(121.1474844, 13.9411625)
"D133",397.853963003126,10.4389879081297,0.823647944514668,c(121.1350625, 13.9434375)
"D134",125.819753914475,12.7936703929659,0.803329707873777,c(121.1475625, 13.9404375)
"D135",262.475950681187,19.0730349018656,0.664463312243934,c(121.1623281, 13.9395125)
"D136",251.965549885935,21.453798790984,0.619045520169831,c(121.1549375, 13.9438125)
"D137",125.819753914475,12.7936703929659,0.803329707873777,c(121.1475625, 13.9404375)
"D138",313.315040853126,9.45298618740136,0.734839330289461,c(121.1694531, 13.9828625)
"D139",296.833030469613,17.4262750684825,0.766976685839712,c(121.1504375, 13.9393125)
"D140",93.3923507394055,13.929339137801,0.782921489258593,c(121.1482656, 13.9409375)
"D141",262.475950681187,19.0730349018656,0.664463312243934,c(121.1623281, 13.9395125)
"D142",219.129911518956,11.6775191889433,0.819629988466057,c(121.1470625, 13.9396875)
"D143",925.972833703085,2.9548623002192,0.715434290866859,c(121.1375625, 13.9546875)
"D144",324.950830988692,19.0737303432093,0.636938178117187,c(121.1614375, 13.9409375)
"D145",250.172989939941,22.1012294495424,0.626161836252886,c(121.1548125, 13.9431875)
"D146",208.759808629281,20.1393401078552,0.595110345467861,c(121.1579844, 13.9441125)
"D147",219.129911519129,13.7134215657891,0.80099684542924,c(121.1483125, 13.9396875)
"D148",306.426711786893,10.8088130609737,0.843836125419873,c(121.1448906, 13.9410875)
"D149",244.102795738424,16.206295464427,0.769429002341326,c(121.1495469, 13.9403125)
"D150",98.617697268502,15.8626834307482,0.712081893829724,c(121.1652656, 13.9410625)
"D151",9.62104584568659,16.0969413118311,0.681518607953481,c(121.1644219, 13.9419625)
"D152",1084.51526123946,16.7348446737421,0.621127012083931,c(121.1654375, 14.0008125)
"D153",1110.48914474253,13.0336550042932,0.698315506643217,c(121.1647969, 13.9947625)
"R154",1165.65065214403,7.01188407710256,0.730671230966821,c(121.1178125, 13.9350625)
"R155",385.243755074529,16.6558534137791,0.615944488701331,c(121.1616719, 13.9440875)
"R156",566.861355644587,5.17827257245325,0.835991661873642,c(121.1399844, 13.9349625)
"R157",416.231086465293,15.2217845953157,0.630787486814976,c(121.1633125, 13.9539375)
"R158",188.856076919852,13.7486021353348,0.654888123303323,c(121.1514375, 13.9453125)
"R159",222.881037454388,19.7937806723113,0.612773260246104,c(121.1551875, 13.9458125)
"R160",310.653705930711,16.701225951922,0.709670671615795,c(121.1504531, 13.9423375)
"R161",362.282930585862,9.65186464473928,0.822586564426221,c(121.1343125, 13.9428125)
"R162",321.861838732911,14.0286454320155,0.619670531446695,c(121.1630625, 13.9548125)
"R163",229.749728336955,16.5485229268626,0.736685650511698,c(121.1498125, 13.9416875)
"R164",317.193384704502,19.8276916551693,0.619348168935649,c(121.1604375, 13.9415625)
"R165",417.199713905362,7.74856024546115,0.672544944461552,c(121.1676875, 13.9791875)
"R166",291.608013776509,22.7419209833957,0.764900388124574,c(121.1685625, 14.0094375)
"R167",500.692704804778,11.7479481725443,0.630795038747602,c(121.1658125, 13.9570625)
"R168",371.256994637274,14.6040497188513,0.625704065149826,c(121.1633125, 13.9544375)
"R169",730.439479603745,9.13476239175221,0.638938720573628,c(121.1243125, 13.9403125)
"R170",446.101966163163,8.28031151763267,0.837993006885003,c(121.1738906, 13.9482375)
"R171",234.49364133593,16.0040373125389,0.771738002761456,c(121.1494375, 13.9403125)
"R172",61.9890848043692,16.1312374300909,0.668966367147694,c(121.1640625, 13.9423125)
"R173",80.9297171951568,14.850988533433,0.574429709994791,c(121.1665625, 13.9698125)
"R174",97.1257223987556,7.4106894285407,0.740264265999959,c(121.1338906, 13.9479375)
"R175",414.287471553339,7.71331844198289,0.67261418694454,c(121.1677344, 13.9791625)
"R176",507.373371652822,12.0589214820675,0.635272752076333,c(121.1658594, 13.9566875)
"R177",441.219032372195,11.0461165536805,0.828496002415648,c(121.1356875, 13.9434375)
"R178",283.630492292126,18.7793170468983,0.643026690964944,c(121.1618125, 13.9408125)
"R179",300.759515752266,15.7135361488224,0.672810365640099,c(121.1510625, 13.9435625)
"R180",399.115693392994,14.7502776249576,0.629160185004843,c(121.1635625, 13.9543125)
"R181",363.020113709569,17.3390059513458,0.6873019509638,c(121.1511875, 13.9426875)
"R182",318.11035342613,14.0417565846006,0.619296608294112,c(121.16298, 13.95479181)
"R183",416.567674608141,14.5612499303918,0.631585998059626,c(121.1639375, 13.9544375)
"R184",368.892831683657,18.8985751157005,0.615215653528322,c(121.1558125, 13.9474375)
"R185",379.350324120799,18.9195516933151,0.614445007411391,c(121.1559375, 13.9474375)
"R186",185.428797247092,15.3337927960557,0.774563405991576,c(121.1490625, 13.9405625)
"R187",420.546431177323,19.9540973028851,0.69247113240652,c(121.1520625, 13.9415625)
"R188",26.0095418140472,16.1371831555657,0.688001631128941,c(121.1645625, 13.9416875)
"R189",306.781451075227,19.3203125718647,0.667998807737081,c(121.1523125, 13.9426875)
"R190",204.249769611168,16.211303807357,0.749569906261733,c(121.1495625, 13.9413125)
"R191",188.039621171238,8.64264156025261,0.693163542245846,c(121.1765781, 13.9642625)
"R192",507.373371652822,12.0589214820675,0.635272752076333,c(121.1658594, 13.9566875)
"R193",698.785666677458,10.0360859684931,0.608019871771127,c(121.1689375, 13.9615625)
"R194",1765.33126240874,8.35662070785851,0.858166598646542,c(121.1135625, 13.9284375)
"R195",318.111231883988,14.0417725822979,0.619296720780776,c(121.16298, 13.9547918)
"R196",279.783344692141,14.6394583891634,0.669841779864968,c(121.1509375, 13.9440625)
"R197",233.022978439907,23.5821769970804,0.757332659519152,c(121.1690625, 14.0091875)
"R198",417.971101448541,20.0919329703263,0.699481517741938,c(121.1520625, 13.9411875)
"R199",674.593646720737,8.51821325549392,0.702712168593767,c(121.1270625, 13.9406875)
"R200",107.11554264647,7.88095407340107,0.775539345587834,c(121.1308125, 13.9453125)
"R201",416.847051459124,15.3406144476709,0.75511771357413,c(121.1537969, 13.9368375)
"R202",670.011071955383,18.910573120831,0.533299014600627,c(121.1762969, 14.0053875)
"R203",337.532988389898,21.2531315934565,0.683260996196504,c(121.1528125, 13.9413125)
"R204",407.015268656881,14.5739910467663,0.63030231100257,c(121.1638125, 13.9544375)
"R205",7.10026927649083,16.0994676763501,0.682179312701531,c(121.1644375, 13.9419375)
"R206",118.330513737174,19.4088986632646,0.632891876418265,c(121.1535625, 13.9443125)
"R207",418.441959221363,14.8845130626724,0.631566431397051,c(121.1636875, 13.9541875)
"R208",193.202831641744,17.4914650934025,0.650450641600949,c(121.1626875, 13.9414375)
"R209",318.117848023034,14.0417977976598,0.619297431801556,c(121.1629801, 13.9547918)
"R210",369.828382542049,9.47109894873481,0.822644832267793,c(121.1341875, 13.9425625)
"R211",159.723625485307,24.9856335546235,0.744607860365308,c(121.1697656, 14.0092125)
"R212",1257.22844777789,3.7522968831526,0.763256064059552,c(121.1900781, 14.0027375)
