longitude,latitude,NDVI,NDVI_rescaled,red_reflectance,NIR_reflectance,NDVI_calculated
121.1622784,13.97291667,5720,0.572,918,3372,0.572027972
121.1665722,13.97291667,5155,0.5155,975,3050,0.51552795
121.1708659,13.97291667,6802,0.6802,636,3342,0.680241327
121.1751596,13.97291667,7273,0.7273,589,3731,0.727314815
121.1794533,13.97291667,8019,0.8019,454,4131,0.801962923
121.183747,13.97291667,6762,0.6762,868,4494,0.676240209
121.1880408,13.97291667,7862,0.7862,533,4454,0.786244235
121.1923345,13.97291667,7541,0.7541,484,3454,0.754189944
121.1966282,13.97291667,5620,0.562,822,2932,0.562067128
121.2009219,13.97291667,6958,0.6958,713,3975,0.695819113
121.2052156,13.97291667,6887,0.6887,647,3510,0.688717825
121.2095093,13.97291667,8053,0.8053,440,4080,0.805309735
121.2138031,13.97291667,8495,0.8495,342,4203,0.84950495
121.2180968,13.97291667,8954,0.8954,254,4607,0.895494754
121.2223905,13.97291667,9135,0.9135,193,4270,0.913511091
121.2266842,13.97291667,9339,0.9339,156,4566,0.933926302
121.2309779,13.97291667,9355,0.9355,170,5102,0.935508346
121.2352716,13.97291667,9353,0.9353,175,5240,0.935364728
121.2395654,13.97291667,9342,0.9342,171,5033,0.934281322
121.2438591,13.97291667,9290,0.929,173,4701,0.929011079
121.1257372,13.96875,7527,0.7527,607,4304,0.752799837
121.1300309,13.96875,8840,0.884,295,4795,0.884086444
121.1343245,13.96875,6875,0.6875,776,4191,0.687537749
121.1386182,13.96875,6357,0.6357,855,3840,0.635782748
121.1429118,13.96875,7320,0.732,608,3931,0.732099581
121.1472054,13.96875,7770,0.777,490,3905,0.77701934
121.1514991,13.96875,7657,0.7657,497,3746,0.765731794
121.1557927,13.96875,6207,0.6207,797,3406,0.620747085
121.1600864,13.96875,6272,0.6272,775,3383,0.627224627
121.16438,13.96875,5155,0.5155,975,3050,0.51552795
121.1686736,13.96875,6112,0.6112,780,3233,0.611263394
121.1729673,13.96875,7372,0.7372,561,3710,0.737298057
121.1772609,13.96875,8559,0.8559,332,4278,0.855965293
121.1815546,13.96875,6810,0.681,619,3263,0.681092221
121.1858482,13.96875,8243,0.8243,405,4206,0.824333116
121.1901418,13.96875,7600,0.76,571,4189,0.760084034
121.1944355,13.96875,7216,0.7216,685,4237,0.721657863
121.1987291,13.96875,6140,0.614,881,3684,0.614019715
121.2030228,13.96875,6524,0.6524,779,3704,0.652464867
121.2073164,13.96875,7812,0.7812,487,3966,0.781271053
121.21161,13.96875,8188,0.8188,424,4258,0.81888082
121.2159037,13.96875,9072,0.9072,226,4646,0.907224959
121.2201973,13.96875,9170,0.917,187,4324,0.917091554
121.224491,13.96875,9188,0.9188,171,4045,0.918880455
121.2287846,13.96875,9251,0.9251,172,4422,0.925119721
121.2330782,13.96875,9439,0.9439,122,4231,0.943946703
121.2373719,13.96875,9459,0.9459,117,4215,0.94598338
121.2416655,13.96875,9353,0.9353,145,4344,0.935397639
121.2459592,13.96875,9373,0.9373,162,5010,0.937354988
121.1278401,13.96458333,8331,0.8331,373,4099,0.833184258
121.1321336,13.96458333,6875,0.6875,776,4191,0.687537749
121.1364272,13.96458333,7780,0.778,492,3942,0.778078484
121.1407207,13.96458333,7541,0.7541,476,3396,0.754132231
121.1450143,13.96458333,7017,0.7017,641,3657,0.701721731
121.1493079,13.96458333,5778,0.5778,922,3446,0.577838828
121.1536014,13.96458333,7658,0.7658,524,3952,0.765862377
121.157895,13.96458333,7282,0.7282,647,4114,0.72820836
121.1621886,13.96458333,7107,0.7107,600,3549,0.71077368
121.1664821,13.96458333,4593,0.4593,1011,2729,0.459358289
121.1707757,13.96458333,4317,0.4317,1166,2938,0.431773879
121.1750692,13.96458333,7045,0.7045,605,3491,0.704589844
121.1793628,13.96458333,7457,0.7457,421,2891,0.745772947
121.1836564,13.96458333,8969,0.8969,171,3149,0.896987952
121.1879499,13.96458333,7201,0.7201,648,3983,0.720146837
121.1922435,13.96458333,7612,0.7612,612,4515,0.761263897
121.1965371,13.96458333,7060,0.706,731,4242,0.706012467
121.2008306,13.96458333,5804,0.5804,925,3484,0.58040372
121.2051242,13.96458333,8044,0.8044,465,4291,0.804457527
121.2094177,13.96458333,8397,0.8397,364,4179,0.839753467
121.2137113,13.96458333,8381,0.8381,364,4135,0.838186264
121.2180049,13.96458333,8917,0.8917,270,4718,0.891740176
121.2222984,13.96458333,9146,0.9146,216,4844,0.914624506
121.226592,13.96458333,9197,0.9197,201,4808,0.91974446
121.2308856,13.96458333,9440,0.944,153,5316,0.944048272
121.2351791,13.96458333,9394,0.9394,160,5123,0.939428355
121.2394727,13.96458333,9407,0.9407,152,4981,0.940775375
121.2437662,13.96458333,9376,0.9376,142,4413,0.937650933
121.0784216,13.96041667,6924,0.6924,373,2053,0.692497939
121.0827151,13.96041667,6454,0.6454,395,1833,0.645421903
121.1041825,13.96041667,8662,0.8662,175,2442,0.866259075
121.1256499,13.96041667,7803,0.7803,501,4060,0.780311335
121.1299434,13.96041667,7807,0.7807,535,4346,0.780782627
121.1342369,13.96041667,6838,0.6838,641,3414,0.683847102
121.1385304,13.96041667,7975,0.7975,486,4315,0.797542179
121.1428239,13.96041667,6518,0.6518,924,4384,0.65184627
121.1471174,13.96041667,5904,0.5904,885,3437,0.590467376
121.1514109,13.96041667,5918,0.5918,842,3284,0.59185652
121.1557043,13.96041667,6866,0.6866,657,3536,0.686620558
121.1599978,13.96041667,6987,0.6987,649,3660,0.698770016
121.1642913,13.96041667,5099,0.5099,969,2986,0.509987358
121.1685848,13.96041667,6522,0.6522,719,3416,0.652237001
121.1728783,13.96041667,7494,0.7494,544,3799,0.749481925
121.1771718,13.96041667,4910,0.491,1384,4055,0.49108292
121.1814653,13.96041667,6349,0.6349,907,4062,0.634936607
121.1857587,13.96041667,4226,0.4226,1964,4839,0.422607673
121.1900522,13.96041667,6773,0.6773,717,3728,0.677390326
121.1943457,13.96041667,7599,0.7599,577,4231,0.759983361
121.1986392,13.96041667,6000,0.6,878,3513,0.600091095
121.2029327,13.96041667,7765,0.7765,525,4175,0.776595745
121.2072262,13.96041667,8427,0.8427,378,4431,0.84279476
121.2115196,13.96041667,6371,0.6371,760,3429,0.637144903
121.2158131,13.96041667,8349,0.8349,389,4324,0.834924676
121.2201066,13.96041667,9000,0.9,247,4694,0.900020239
121.2244001,13.96041667,9248,0.9248,186,4764,0.924848485
121.2286936,13.96041667,9319,0.9319,177,5028,0.931988473
121.2329871,13.96041667,9440,0.944,153,5316,0.944048272
121.2372806,13.96041667,9407,0.9407,152,4981,0.940775375
121.241574,13.96041667,9396,0.9396,174,5588,0.939604304
121.0762331,13.95625,7935,0.7935,518,4500,0.793543244
121.0805265,13.95625,8009,0.8009,434,3926,0.800917431
121.0848199,13.95625,8310,0.831,413,4476,0.831049294
121.0891133,13.95625,8553,0.8553,340,4360,0.855319149
121.0934067,13.95625,8615,0.8615,352,4732,0.861526357
121.0977001,13.95625,3194,0.3194,2066,4006,0.319499341
121.1019935,13.95625,3462,0.3462,1731,3565,0.346299094
121.1062869,13.95625,7292,0.7292,445,2842,0.729236386
121.127754,13.95625,7543,0.7543,606,4328,0.754357519
121.1320474,13.95625,7290,0.729,594,3791,0.729076397
121.1363408,13.95625,6397,0.6397,667,3036,0.639751553
121.1406342,13.95625,7931,0.7931,240,2081,0.793192589
121.1449276,13.95625,6637,0.6637,683,3379,0.663712457
121.149221,13.95625,3740,0.374,1195,2623,0.37401781
121.1535144,13.95625,4734,0.4734,1027,2874,0.473468341
121.1578078,13.95625,6613,0.6613,690,3385,0.661349693
121.1621012,13.95625,5099,0.5099,969,2986,0.509987358
121.1663946,13.95625,6522,0.6522,719,3416,0.652237001
121.170688,13.95625,7702,0.7702,434,3344,0.770248809
121.1749814,13.95625,7339,0.7339,650,4237,0.733988132
121.1792749,13.95625,8437,0.8437,247,2914,0.843720342
121.1835683,13.95625,8239,0.8239,258,2673,0.82395087
121.1878617,13.95625,8663,0.8663,219,3057,0.866300366
121.1921551,13.95625,7068,0.7068,678,3948,0.706874189
121.1964485,13.95625,8057,0.8057,483,4489,0.805711987
121.2007419,13.95625,6441,0.6441,720,3327,0.644180875
121.2050353,13.95625,6762,0.6762,673,3484,0.676208804
121.2093287,13.95625,8364,0.8364,385,4324,0.83648333
121.2136221,13.95625,8202,0.8202,418,4234,0.820292347
121.2179155,13.95625,8325,0.8325,406,4443,0.832542792
121.2222089,13.95625,8734,0.8734,342,5063,0.873450509
121.2265023,13.95625,9134,0.9134,226,4998,0.913476263
121.2307957,13.95625,9345,0.9345,163,4817,0.934538153
121.2350892,13.95625,9374,0.9374,159,4925,0.937450826
121.2393826,13.95625,9306,0.9306,183,5095,0.930655551
121.243676,13.95625,9396,0.9396,174,5588,0.939604304
121.0740453,13.95208333,7922,0.7922,462,3986,0.792266187
121.0783386,13.95208333,8163,0.8163,488,4827,0.816368768
121.0826319,13.95208333,8427,0.8427,373,4370,0.842715581
121.0869253,13.95208333,8547,0.8547,308,3933,0.854751238
121.0912186,13.95208333,8494,0.8494,374,4596,0.849496982
121.0955119,13.95208333,8439,0.8439,389,4598,0.843994385
121.0998052,13.95208333,8356,0.8356,394,4401,0.835662148
121.1040986,13.95208333,8901,0.8901,216,3717,0.890160183
